,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Date
713,22,Northwestern,B10,1,1–0 0–0,97.3 36,89.8 17,.7150 22,47.6 28,39.1 5,8.9 2,23.7 14,18.9 48,22.0 17,21.0 45,21.8 15,52.4 18,18.5 1,25.0 40,39.3 48,32.3 41,50.9 51,68.4 23,+0.01 29,2021-12-12
714,23,Miami FL,ACC,1,1–0 0–0,111.2 9,103.2 39,.7028 23,48.3 26,45.0 22,15.6 10,15.6 48,27.8 26,16.2 7,32.2 27,23.3 18,48.8 26,68.2 58,31.3 31,21.1 5,27.1 51,63.3 56,69.7 14,+0.15 13,2021-12-12
715,24,Purdue,B10,1,1–0 0–0,101.8 22,95.0 29,.6908 24,54.2 12,48.4 34,18.7 22,17.3 41,32.4 14,17.9 9,41.7 14,24.2 20,64.1 2,43.9 18,23.8 45,38.1 42,35.0 33,33.9 23,66.7 35,+0.26 8,2021-12-12
716,27,Florida,SEC,1,0–1 0–0,109.5 11,103.4 40,.6598 27,47.4 30,57.1 52,18.8 23,23.5 15,40.5 4,28.6 35,29.3 33,36.7 39,35.5 53,44.4 19,40.7 9,61.5 58,46.6 15,26.5 6,64.2 47,-0.6 43,2021-12-12
717,28,Kansas St.,B12,1,1–0 0–0,125.1 2,118.4 57,.6538 28,65.7 1,52.3 43,13.1 6,19.7 32,27.3 28,23.1 22,33.3 25,52.3 53,56.7 8,63.0 55,52.4 3,23.5 12,41.2 22,38.6 33,63.5 50,+0.02 28,2021-12-12
718,30,South Carolina,SEC,1,1–0 0–0,94.2 41,90.4 19,.6168 30,47.5 29,43.1 13,23.8 46,23.8 11,37.8 6,27.0 29,33.9 24,54.9 54,48.9 25,43.3 16,28.6 34,28.6 24,23.7 56,41.2 36,70.7 11,+0.31 4,2021-12-12
719,33,Virginia Tech,ACC,1,0–1 0–0,92.3 45,91.0 22,.5434 33,43.6 44,49.0 35,19.9 28,23.0 18,24.3 33,30.3 39,25.5 38,42.0 46,45.5 36,43.8 17,27.3 38,38.9 47,40.0 24,36.0 30,69.6 17,-0.35 34,2021-12-12
720,35,Oregon,P12,1,0–1 0–1,105.4 17,105.2 45,.5057 35,47.3 32,50.9 38,17.7 19,25.1 7,37.1 8,45.2 57,41.1 16,35.1 38,44.4 38,51.5 38,35.0 25,33.3 30,35.7 30,42.1 39,68.9 21,-0.6 42,2021-12-12
721,39,Rutgers,B10,1,0–1 0–0,99.4 29,102.4 38,.4148 39,43.9 41,46.8 26,21.0 32,15.4 50,27.8 26,34.3 48,29.8 31,34.9 37,48.7 27,52.4 40,22.2 49,23.8 13,31.6 43,33.3 21,70.8 10,-0.40 38,2021-12-12
722,46,Villanova,BE,1,0–1 0–0,70.3 57,79.7 7,.1911 46,27.8 58,44.6 19,21.7 34,18.3 39,27.3 28,30.3 39,18.5 49,12.5 4,22.2 56,50.0 35,22.2 49,25.0 18,50.0 10,42.9 41,59.7 58,-0.13 30,2021-12-12
723,54,Pittsburgh,ACC,1,0–1 0–0,74.9 56,95.9 31,.0552 54,36.0 57,45.3 24,23.5 42,20.4 29,34.3 10,23.5 23,46.0 10,22.6 16,40.5 50,53.6 44,15.4 56,24.0 15,26.0 54,47.2 46,64.7 44,-0.9 55,2021-12-12
724,8,Oklahoma St.,B12,1,1–0 0–0,109.7 8,110.1 10,.4901 8,59.6 2,57.2 11,21.1 14,19.9 8,30.8 5,33.3 17,38.2 6,31.9 8,62.8 3,57.8 13,36.0 12,37.5 10,36.8 9,34.8 7,75.4 1,+0.10 2,2021-12-13
725,16,Boston College,ACC,1,0–1 0–0,97.0 12,119.7 16,.0816 16,43.0 17,53.7 9,22.5 15,12.1 15,45.9 1,20.0 6,21.1 14,7.4 1,41.5 16,44.7 5,31.3 16,50.0 17,28.1 16,29.6 5,59.4 18,-1.0 16,2021-12-13
726,1,Tennessee,SEC,1,1–0 0–0,120.4 6,78.9 4,.9923 1,64.0 4,41.8 13,14.0 16,29.4 6,42.9 6,26.3 31,23.5 47,23.6 29,62.8 8,42.4 17,44.0 11,27.3 28,36.8 39,40.0 42,70.0 29,+0.05 25,2021-12-14
727,2,Texas,B12,1,1–0 0–0,87.7 61,59.1 1,.9893 2,49.0 38,37.2 7,13.6 13,34.0 2,32.1 24,12.5 5,42.9 11,25.6 33,51.7 36,31.8 2,30.0 40,29.4 31,40.8 31,43.6 54,58.6 74,+0.01 36,2021-12-14
728,3,Mississippi St.,SEC,1,1–0 0–0,118.9 8,80.9 5,.9883 3,60.2 8,37.7 8,19.7 35,16.7 49,26.1 45,22.2 18,68.2 1,16.4 15,55.9 22,36.8 9,50.0 9,26.1 24,22.7 70,37.7 37,65.9 59,+0.14 9,2021-12-14
729,4,Duke,ACC,1,1–0 0–0,123.5 3,88.5 18,.9788 4,68.6 2,35.1 4,20.2 36,21.4 30,22.2 55,38.9 64,40.7 13,14.3 10,56.3 21,36.8 9,55.6 3,20.0 8,45.8 20,26.0 13,75.7 4,+0.02 31,2021-12-14
730,5,LSU,SEC,1,1–0 0–0,102.6 27,75.2 2,.9724 5,48.6 41,31.1 1,13.5 11,22.9 24,43.2 5,29.2 40,31.1 28,29.5 41,52.9 31,36.1 6,26.1 50,16.0 5,31.1 55,41.0 45,70.0 29,+0.02 35,2021-12-14
731,7,North Carolina,ACC,1,1–0 0–0,113.8 12,88.6 19,.9472 7,54.2 20,48.3 31,12.6 6,11.0 73,36.4 16,11.1 2,23.3 48,5.0 3,56.8 20,51.9 40,31.3 34,30.3 36,26.7 60,55.0 69,65.6 61,+0.27 6,2021-12-14
732,10,Texas Tech,B12,1,1–0 0–0,120.5 5,97.4 39,.9203 10,63.0 6,51.9 49,23.2 53,15.5 54,31.8 26,17.1 10,32.0 25,26.4 37,65.6 3,60.9 63,38.9 16,30.0 34,36.0 43,56.6 70,63.6 67,+0.08 18,2021-12-14
733,12,Auburn,SEC,1,1–0 0–0,92.9 50,76.3 3,.9060 12,42.8 58,34.4 3,14.2 17,25.5 12,34.8 18,22.7 21,23.2 49,4.9 2,36.4 67,33.3 3,36.0 22,24.0 17,36.2 42,41.0 45,70.0 29,+0.03 29,2021-12-14
734,15,Louisville,ACC,1,1–0 0–0,102.9 25,85.4 10,.8953 15,57.8 13,37.1 6,18.9 33,21.6 28,31.0 29,29.5 43,39.7 14,30.6 45,60.5 15,48.3 26,35.0 25,18.2 7,34.5 49,53.2 68,70.7 24,+0.04 26,2021-12-14
735,22,Arizona St.,P12,1,1–0 0–0,95.5 44,82.3 7,.8468 22,45.0 54,43.5 18,13.3 9,20.7 36,11.4 72,21.6 17,8.3 69,29.6 42,46.7 52,55.2 48,26.7 49,20.0 8,25.0 66,46.3 57,67.6 48,+0.6 1,2021-12-14
736,24,Minnesota,B10,1,1–0 0–0,108.1 17,96.5 32,.7864 24,70.9 1,44.3 19,37.3 74,8.0 74,27.3 43,16.3 8,53.5 6,15.7 13,63.6 7,42.3 16,52.4 6,33.3 45,48.8 13,25.7 11,72.8 13,+0.05 23,2021-12-14
737,26,Alabama,SEC,1,0–1 0–0,116.3 9,106.8 56,.7257 26,53.8 21,60.0 66,26.2 64,22.3 25,41.2 7,43.3 71,18.5 55,41.7 63,62.5 9,64.9 71,30.3 37,34.8 48,50.8 8,38.3 40,73.1 11,-0.22 45,2021-12-14
738,28,Creighton,BE,1,0–1 0–0,93.8 47,87.5 17,.6915 28,43.5 57,45.0 21,20.7 39,13.3 66,21.6 58,11.4 3,29.6 33,8.3 6,55.2 27,46.7 22,20.0 65,26.7 26,46.3 18,25.0 9,67.3 51,-0.8 61,2021-12-14
739,43,DePaul,BE,1,1–0 0–0,95.2 45,97.1 35,.4432 43,48.4 42,48.4 32,14.2 17,15.6 53,29.4 33,18.8 12,32.8 22,14.8 11,54.3 30,66.7 73,20.0 65,17.9 6,24.6 67,45.9 56,68.6 39,+0.12 12,2021-12-14
740,44,Clemson,ACC,1,1–0 0–0,116.0 10,118.3 70,.4427 44,61.9 7,51.6 48,11.9 4,13.4 65,25.8 46,28.9 38,30.5 31,26.2 35,48.6 47,48.4 27,54.2 5,36.7 54,40.7 32,49.2 65,66.7 54,+0.05 24,2021-12-14
741,45,Wake Forest,ACC,1,1–0 0–0,93.7 48,97.2 37,.3971 45,42.2 59,49.2 40,12.5 5,13.9 60,25.6 49,17.1 10,53.4 7,9.1 7,46.7 52,50.0 31,25.0 53,32.5 44,48.3 15,60.6 74,70.2 27,+0.10 14,2021-12-14
742,56,Oregon St.,P12,1,0–1 0–0,90.4 56,104.2 51,.1628 56,47.3 49,54.5 56,18.1 30,16.7 49,19.4 61,10.3 1,37.5 18,29.1 39,48.7 46,55.8 51,29.4 42,33.3 45,30.4 57,21.8 3,71.6 20,-0.9 71,2021-12-14
743,1,Xavier,BE,1,1–0 0–0,126.9 3,88.0 15,.9853 1,58.5 10,44.7 18,21.2 30,19.8 30,38.7 10,30.0 28,30.5 25,9.1 2,51.4 23,43.1 14,45.8 4,33.3 27,40.7 25,22.7 5,73.4 11,+0.16 9,2021-12-15
744,5,Florida St.,ACC,1,1–0 0–0,112.4 7,85.9 10,.9567 5,62.9 4,47.5 23,13.1 5,24.8 15,26.5 34,16.2 4,18.6 43,10.0 4,52.3 20,42.9 13,53.8 2,34.4 30,37.1 34,53.3 49,74.1 10,+0.05 21,2021-12-15
745,6,Oregon,P12,1,1–0 0–0,132.9 1,101.8 36,.9552 6,59.4 8,48.2 26,11.3 1,18.4 35,40.5 5,22.2 15,27.5 30,38.2 39,59.2 11,34.5 1,40.0 11,42.3 46,29.0 43,47.3 46,68.9 33,+0.11 13,2021-12-15
746,11,Mississippi,SEC,1,1–0 0–0,88.7 40,73.5 2,.8976 11,40.8 45,37.3 3,11.3 1,24.1 16,18.6 47,26.2 20,33.3 22,9.5 3,43.6 40,52.8 36,23.8 44,11.1 3,35.0 37,42.9 37,70.7 23,+0.21 8,2021-12-15
747,15,Arizona,P12,1,1–0 0–0,112.2 8,98.8 29,.8123 15,58.9 9,56.8 43,14.0 7,16.5 39,38.2 11,8.8 1,26.0 32,28.8 27,60.8 7,51.5 33,36.4 19,42.3 46,30.1 40,44.1 39,76.1 2,+0.07 17,2021-12-15
748,18,Washington St.,P12,1,0–1 0–0,101.1 23,91.8 20,.7513 18,41.7 43,48.0 24,25.8 41,25.8 13,46.2 1,40.6 51,25.0 34,43.1 45,37.0 53,50.0 29,30.3 32,29.4 20,55.0 3,33.3 17,66.8 39,-0.7 46,2021-12-15
749,21,Georgetown,BE,1,1–0 0–0,101.7 20,97.7 27,.6132 21,61.2 5,50.0 31,29.1 50,26.6 8,41.9 3,30.0 28,39.7 13,31.1 31,59.5 9,38.9 3,43.8 7,44.0 49,27.6 44,41.0 31,75.4 5,+0.05 20,2021-12-15
750,24,USC,P12,1,1–0 0–0,98.4 29,96.5 24,.5562 24,43.2 41,40.6 8,16.1 13,14.6 47,39.5 6,24.4 17,40.7 11,21.9 16,45.7 34,42.6 12,23.1 46,23.5 10,22.0 52,26.6 10,70.7 23,+0.12 11,2021-12-15
751,36,Wisconsin,B10,1,1–0 0–0,102.4 18,108.2 43,.3462 36,49.1 26,52.4 36,12.0 3,18.0 36,27.8 32,30.3 30,49.1 6,12.9 7,52.9 17,58.1 43,28.6 36,26.3 16,38.2 33,30.6 16,64.3 48,+0.07 16,2021-12-15
752,1,Duke,ACC,1,1–0 0–0,135.1 1,108.5 13,.9259 1,69.8 1,46.7 8,13.5 5,19.5 10,28.0 14,36.1 18,22.4 15,25.0 10,64.3 1,47.1 11,50.0 1,30.8 8,51.7 4,43.3 14,69.5 6,+0.11 3,2021-12-16
753,11,Stanford,P12,1,1–0 0–0,113.6 5,116.9 20,.4168 11,55.9 7,54.1 14,13.3 3,15.9 17,35.7 6,11.8 1,36.8 3,23.0 9,56.9 4,46.2 9,35.3 11,45.5 20,25.0 22,36.1 9,69.5 6,+0.06 4,2021-12-16
754,1,Virginia Tech,ACC,1,1–0 0–0,129.2 2,71.6 1,.9989 1,67.6 3,38.9 5,20.7 16,29.6 1,37.5 3,32.4 18,45.1 2,24.1 11,65.2 3,38.7 4,46.4 5,26.1 6,54.9 4,42.6 19,69.3 12,+0.35 3,2021-12-17
755,2,Creighton,BE,1,1–0 1–0,128.0 3,86.0 4,.9898 2,62.3 4,36.5 2,21.8 19,9.3 26,40.7 1,30.2 16,17.5 21,25.4 13,64.7 4,42.5 7,39.1 9,17.4 2,40.4 10,36.5 13,69.3 12,+0.6 2,2021-12-17
756,5,Mississippi St.,SEC,1,1–0 0–0,111.4 8,93.4 8,.8839 5,56.1 10,69.6 25,19.1 14,28.7 2,31.0 10,13.0 1,42.9 3,10.9 2,60.6 7,57.9 18,31.3 16,51.9 24,32.7 18,58.7 25,64.7 22,+0.27 5,2021-12-17
757,8,Wake Forest,ACC,1,1–0 0–0,118.4 5,105.4 17,.7912 8,57.7 9,59.2 21,10.0 2,14.3 20,21.2 21,23.3 9,13.8 24,25.0 12,64.3 5,65.8 25,30.4 18,31.8 12,35.4 16,36.7 14,71.5 6,+0.15 8,2021-12-17
758,17,N.C. State,ACC,1,0–1 0–0,111.3 9,110.4 21,.5241 17,43.4 19,58.5 20,10.0 2,14.2 21,35.7 5,21.4 7,55.7 1,30.5 19,41.0 22,60.0 19,31.8 14,36.8 16,36.1 15,32.2 8,70.8 8,-0.7 21,2021-12-17
759,19,Villanova,BE,1,0–1 0–1,109.3 12,113.5 23,.3928 19,36.5 25,62.3 22,9.3 1,21.8 8,30.2 11,40.7 26,25.4 14,17.5 6,42.5 20,64.7 23,17.4 25,39.1 18,36.5 14,40.4 17,64.3 23,-0.38 15,2021-12-17
760,1,Kentucky,SEC,1,1–0 0–0,145.5 2,88.0 27,.9969 1,59.7 23,44.3 44,12.5 13,16.6 94,45.9 7,18.2 17,23.6 88,52.8 131,54.4 48,55.0 97,53.3 4,7.7 2,20.8 135,24.5 10,69.2 66,+0.7 4,2021-12-18
761,3,Michigan,B10,1,1–0 0–0,118.2 18,74.5 3,.9951 3,61.7 15,36.2 8,16.0 40,17.5 85,37.9 25,21.4 31,18.8 113,24.1 56,63.0 17,42.9 34,38.9 43,17.4 11,28.1 122,39.7 82,67.5 85,+0.09 41,2021-12-18
762,4,Purdue,B10,1,1–0 0–0,134.7 3,86.5 22,.9939 4,63.7 9,35.6 6,17.2 51,12.0 131,44.0 11,29.5 78,27.5 69,23.7 54,55.2 41,48.4 59,50.0 9,14.3 5,43.1 40,47.5 116,61.2 132,+0.26 18,2021-12-18
763,5,Illinois,B10,1,1–0 0–0,147.4 1,102.2 85,.9854 5,81.0 1,31.1 3,14.8 25,14.8 114,56.5 1,35.4 105,25.9 76,26.2 66,83.3 1,23.3 1,52.9 5,33.3 69,58.6 3,29.5 27,60.9 134,+0.02 63,2021-12-18
764,6,Providence,BE,1,1–0 1–0,99.0 76,71.9 2,.9755 6,44.0 99,37.7 13,11.0 5,14.1 120,20.5 114,27.3 63,24.1 84,21.3 37,41.9 109,34.4 7,33.3 64,27.6 42,25.9 127,47.5 116,66.0 99,+0.7 3,2021-12-18
765,7,Duke,ACC,1,1–0 0–0,114.9 24,85.0 17,.9698 7,55.4 38,52.0 82,11.3 7,32.4 2,35.0 40,16.7 13,38.5 34,18.4 24,60.0 23,48.4 59,32.0 73,38.9 97,38.5 71,36.7 56,72.3 22,+0.05 52,2021-12-18
766,10,Iowa,B10,1,1–0 0–0,132.0 5,98.3 72,.9672 10,60.9 21,56.9 109,12.2 11,19.0 68,32.3 51,7.4 3,32.8 49,47.1 123,71.1 3,60.7 119,30.8 79,34.8 80,40.6 49,45.1 111,74.2 8,+0.46 13,2021-12-18
767,11,Vanderbilt,SEC,1,1–0 0–0,117.3 20,89.9 35,.9553 11,54.0 45,41.5 28,19.1 74,28.6 6,48.6 3,32.4 91,22.6 95,13.2 14,54.8 45,48.1 58,35.5 55,23.1 25,50.0 17,49.1 121,65.4 103,+0.04 58,2021-12-18
768,13,Mississippi,SEC,1,1–0 0–0,116.5 21,90.0 36,.9510 13,60.0 22,53.8 93,22.6 103,26.9 12,24.0 93,27.6 65,42.0 27,34.6 97,77.4 2,64.7 129,21.1 120,22.2 22,38.0 73,34.6 44,75.4 4,+0.36 14,2021-12-18
769,14,Indiana,B10,1,1–0 0–0,96.8 85,76.4 4,.9384 14,52.1 56,39.7 21,20.5 86,20.5 54,19.4 118,21.6 33,45.8 19,22.4 43,46.4 90,47.2 55,40.0 36,18.2 13,41.7 45,37.9 65,70.1 52,+0.5 11,2021-12-18
770,15,Clemson,ACC,1,1–0 0–0,103.0 56,81.4 13,.9377 15,37.3 130,37.3 10,19.4 76,20.8 48,41.3 14,20.0 24,49.2 16,36.4 103,39.0 121,37.1 16,22.7 117,25.0 31,34.9 95,36.4 52,68.6 78,+0.19 26,2021-12-18
771,16,Washington St.,P12,1,1–0 0–0,101.4 67,80.7 12,.9328 16,52.4 54,40.6 25,11.3 7,24.0 30,27.8 75,15.8 8,28.6 65,32.1 87,50.0 65,38.1 17,36.4 52,28.1 46,52.4 14,60.4 139,68.6 78,+0.07 43,2021-12-18
772,17,USC,P12,1,1–0 0–0,110.1 40,87.6 26,.9324 17,56.7 33,36.7 9,20.7 89,11.2 135,29.0 68,26.7 58,25.0 79,14.1 16,48.5 79,35.6 10,47.4 20,26.3 36,36.5 86,29.7 28,61.8 126,+0.22 22,2021-12-18
773,27,Virginia,ACC,1,1–0 0–0,108.8 45,90.3 38,.8949 27,70.0 4,33.9 4,15.7 33,23.5 33,21.7 106,34.9 99,12.7 128,18.6 26,65.8 8,30.6 3,52.9 5,26.1 35,30.9 110,39.0 75,61.5 130,+0.01 66,2021-12-18
774,28,Oregon,P12,1,0–1 0–0,128.8 7,107.1 103,.8928 28,62.0 13,61.4 124,25.8 122,17.7 80,42.3 13,40.6 124,24.0 86,31.6 84,59.4 24,50.0 70,44.4 21,52.2 133,36.0 90,40.4 88,61.7 127,-0.32 82,2021-12-18
775,29,Baylor,B12,1,1–0 0–0,127.9 9,107.3 104,.8826 29,61.4 16,62.0 127,17.7 60,25.8 18,40.6 17,42.3 128,31.6 56,24.0 55,50.0 65,59.4 117,52.2 8,44.4 120,40.4 50,36.0 51,61.7 127,+0.6 9,2021-12-18
776,32,Auburn,SEC,1,1–0 0–0,111.7 35,95.1 62,.8634 32,54.2 44,45.0 47,15.8 35,24.4 27,22.9 101,50.0 139,25.0 79,40.0 110,51.4 61,48.8 66,39.1 42,23.5 26,38.3 72,28.3 20,68.9 74,+0.6 8,2021-12-18
777,33,West Virginia,B12,1,1–0 0–0,98.9 77,84.3 16,.8632 33,46.2 86,43.3 39,21.2 94,22.7 36,38.2 24,36.6 109,51.9 11,21.7 39,53.8 51,51.3 79,15.4 134,19.0 16,25.0 129,35.0 47,64.3 111,+0.6 6,2021-12-18
778,35,Xavier,BE,1,1–0 1–0,108.2 46,92.5 48,.8588 35,46.8 84,48.5 66,10.6 4,15.9 102,28.3 72,15.8 8,55.6 6,18.5 25,48.9 72,46.2 49,27.8 96,34.6 78,28.6 118,40.0 83,71.4 35,+0.28 16,2021-12-18
779,37,Arizona,P12,1,1–0 0–0,106.6 49,91.6 42,.8508 37,57.7 27,38.9 16,17.6 57,17.6 82,36.4 33,27.3 63,20.0 110,8.3 5,55.8 37,35.6 10,40.9 34,29.6 55,33.8 99,37.5 58,73.9 11,+0.07 44,2021-12-18
780,38,Colorado,P12,1,1–0 0–0,90.7 102,78.1 8,.8484 38,50.0 67,29.1 1,22.4 102,17.6 82,23.3 95,25.0 50,42.2 26,34.5 96,42.9 103,31.7 5,41.2 32,14.3 5,37.8 77,25.5 13,65.2 106,+0.03 60,2021-12-18
781,39,Pittsburgh,ACC,1,1–0 0–0,90.4 106,78.0 7,.8459 39,36.0 134,39.7 21,26.3 126,20.4 56,37.1 29,37.5 113,56.0 5,22.2 42,31.6 137,35.6 10,33.3 64,33.3 69,24.0 132,28.6 22,62.5 122,+0.6 5,2021-12-18
782,41,Oklahoma St.,B12,1,0–1 0–0,101.8 64,88.9 34,.8266 41,39.0 123,52.9 90,25.6 120,27.1 11,35.1 38,40.5 123,64.0 3,57.7 137,48.4 80,40.7 24,15.8 133,44.0 119,38.0 73,48.1 119,74.0 10,-0.17 75,2021-12-18
783,42,Texas A&M,SEC,1,1–0 0–0,115.6 23,101.7 84,.8149 42,56.3 34,61.0 121,16.1 42,29.2 4,44.1 10,28.0 67,23.4 90,28.0 73,52.5 58,60.7 119,41.7 31,40.9 106,37.5 79,44.0 106,68.9 74,+0.19 24,2021-12-18
784,46,Florida,SEC,1,1–0 0–0,106.8 48,95.8 63,.7755 46,45.8 89,43.9 41,26.1 124,18.4 76,47.4 6,20.6 28,25.4 78,12.3 11,45.5 95,47.8 57,30.8 79,18.2 13,44.1 34,19.3 5,67.4 86,+0.10 39,2021-12-18
785,48,Kansas,B12,1,1–0 0–0,113.1 32,101.6 82,.7740 48,54.6 42,59.5 117,20.7 89,27.6 8,28.1 73,29.6 79,50.0 15,6.9 2,54.3 49,58.5 113,36.8 50,41.2 108,35.2 92,29.3 26,70.4 49,+0.15 32,2021-12-18
786,49,LSU,SEC,1,1–0 0–0,92.7 95,84.1 15,.7545 49,44.1 98,40.9 26,19.8 79,22.7 36,30.0 59,20.5 26,32.2 51,30.9 83,45.9 93,46.2 49,27.3 100,24.1 30,37.3 84,52.7 128,69.3 65,+0.31 15,2021-12-18
787,51,TCU,B12,1,1–0 0–0,106.4 50,97.2 68,.7384 51,50.8 64,48.5 66,16.3 43,14.9 113,31.6 53,22.0 36,24.2 83,18.2 23,42.5 108,46.5 52,42.3 26,34.8 80,39.4 62,34.8 45,70.6 47,+0.26 17,2021-12-18
788,52,Marquette,BE,1,0–1 0–1,102.5 59,94.2 56,.7251 52,48.5 74,46.8 57,15.9 38,10.6 137,15.8 130,28.3 69,18.5 116,55.6 135,46.2 91,48.9 67,34.6 62,27.8 44,40.0 55,28.6 22,74.1 9,-0.37 86,2021-12-18
789,55,Washington,P12,1,1–0 0–0,87.4 122,80.7 11,.7140 55,41.7 109,39.4 20,18.7 69,24.0 30,26.8 80,25.0 50,36.7 37,7.6 4,48.9 72,41.5 27,13.3 138,24.0 28,25.0 129,37.9 65,71.4 35,+0.13 34,2021-12-18
790,56,Notre Dame,ACC,1,0–1 0–0,94.0 92,86.9 23,.7114 56,39.7 119,52.1 84,20.5 86,20.5 54,21.6 107,19.4 22,22.4 98,45.8 122,47.2 86,46.4 51,18.2 126,40.0 100,37.9 75,41.7 96,68.2 82,-0.43 91,2021-12-18
791,57,Alabama,SEC,1,1–0 0–0,99.3 73,92.2 45,.6999 57,48.2 77,41.0 27,17.2 51,14.0 122,30.6 55,30.2 83,28.6 65,26.2 66,57.7 29,44.4 44,26.7 102,24.0 28,53.6 11,41.0 93,66.1 98,+0.13 35,2021-12-18
792,58,Georgetown,BE,1,0–1 0–0,110.0 41,102.5 87,.6926 58,48.5 74,50.8 76,14.9 28,16.3 98,22.0 105,31.6 88,18.2 118,24.2 58,46.5 89,42.5 33,34.8 59,42.3 114,34.8 96,39.4 79,75.0 5,-0.6 99,2021-12-18
793,62,Texas Tech,B12,1,0–1 0–0,97.0 84,91.1 40,.6717 62,42.9 105,54.5 98,18.6 66,15.5 111,23.1 99,20.6 28,23.2 92,17.9 21,40.5 118,44.0 43,31.6 76,41.9 111,33.9 98,55.4 132,59.6 138,-0.15 73,2021-12-18
794,63,Missouri,SEC,1,1–0 0–0,114.1 29,107.6 106,.6637 63,47.0 83,50.9 78,8.6 2,17.2 87,40.0 19,26.5 56,43.9 22,36.8 105,55.6 39,43.8 42,19.0 124,40.0 100,31.8 104,43.9 104,70.7 45,+0.16 31,2021-12-18
795,76,Connecticut,BE,1,0–1 0–1,85.2 127,85.2 19,.5002 76,37.7 128,44.0 42,14.1 20,11.0 136,27.3 77,20.5 26,21.3 104,24.1 56,34.4 134,41.9 30,27.6 98,33.3 69,47.5 24,25.9 14,65.7 102,-0.6 102,2021-12-18
796,79,Utah,P12,1,0–1 0–0,113.8 30,114.2 123,.4878 79,50.9 63,47.0 58,17.2 51,8.6 139,26.5 84,40.0 121,36.8 36,43.9 119,43.8 99,55.6 101,40.0 36,19.0 16,43.9 36,31.8 37,71.4 35,-0.7 108,2021-12-18
797,83,Oregon St.,P12,1,0–1 0–0,114.8 26,115.9 127,.4726 83,61.0 19,56.3 107,29.2 137,16.1 99,28.0 74,44.1 131,28.0 68,23.4 50,60.7 20,52.5 83,40.9 34,41.7 110,44.0 35,37.5 58,69.1 67,-0.6 101,2021-12-18
798,89,St. John's,BE,1,0–1 0–0,85.0 128,88.4 32,.3888 89,39.7 119,36.0 7,20.4 83,26.3 13,37.5 26,37.1 112,22.2 99,56.0 136,35.6 129,31.6 4,33.3 64,33.3 69,28.6 118,24.0 9,71.9 26,-0.9 132,2021-12-18
799,96,South Carolina,SEC,1,0–1 0–0,82.9 131,88.7 33,.3152 96,37.3 130,37.3 10,20.8 91,19.4 64,20.0 116,41.3 127,36.4 38,49.2 125,37.1 125,39.0 20,25.0 107,22.7 23,36.4 88,34.9 46,72.9 16,-0.44 92,2021-12-18
800,97,Arkansas,SEC,1,0–1 0–0,99.1 74,106.2 99,.3105 97,53.8 47,53.1 91,18.9 70,13.8 124,15.8 130,22.9 38,20.0 110,35.4 99,50.0 65,55.8 103,38.7 45,31.8 66,47.7 23,33.8 41,77.5 1,-0.8 117,2021-12-18
801,99,North Carolina,ACC,1,0–1 0–0,105.5 52,113.9 122,.2929 99,44.3 97,59.7 118,16.6 45,12.5 128,18.2 123,45.9 134,52.8 10,23.6 53,55.0 42,54.4 93,7.7 139,53.3 137,24.5 131,20.8 6,71.5 34,-0.27 77,2021-12-18
802,101,Georgia Tech,ACC,1,0–1 0–0,91.6 100,99.1 76,.2880 101,36.7 132,56.7 108,11.2 6,20.7 51,26.7 83,29.0 70,14.1 125,25.0 59,35.6 129,48.5 62,26.3 104,47.4 121,29.7 113,36.5 54,63.6 118,-0.5 96,2021-12-18
803,105,Louisville,ACC,1,0–1 0–0,101.5 66,111.0 112,.2636 105,52.3 55,59.4 116,14.0 18,19.6 63,15.8 130,18.5 20,10.9 133,64.6 139,50.0 65,50.0 70,36.1 54,50.0 125,56.3 6,37.5 58,69.9 55,-0.6 104,2021-12-18
804,121,Butler,BE,1,0–1 0–0,90.7 103,108.1 107,.1177 121,35.6 135,63.7 132,12.0 9,17.2 87,29.5 63,44.0 130,23.7 87,27.5 72,48.4 80,55.2 100,14.3 135,50.0 125,47.5 24,43.1 100,59.1 139,-0.28 78,2021-12-18
805,122,Georgia,SEC,1,0–1 0–0,94.3 91,113.1 120,.1110 122,41.5 111,62.0 127,17.0 50,12.7 126,26.8 80,3.6 1,39.0 32,33.3 93,36.7 126,60.7 119,31.0 78,42.3 114,49.2 18,48.1 119,73.1 15,-0.8 119,2021-12-18
806,1,Oklahoma,B12,1,1–0 0–0,106.5 12,79.2 3,.9680 1,62.7 3,40.0 8,25.6 49,22.6 17,20.0 44,16.7 5,15.7 42,30.0 32,66.7 2,37.9 5,38.1 15,28.6 25,41.2 20,42.0 36,68.2 21,+0.06 15,2021-12-19
807,6,Texas,B12,1,1–0 0–0,95.6 29,78.2 2,.9095 6,46.4 30,45.8 20,19.7 25,33.4 1,28.1 32,33.3 31,21.4 37,27.1 25,50.0 20,50.0 29,25.0 35,25.0 12,28.6 43,33.3 16,67.1 31,+0.26 5,2021-12-19
